season,week,home_team,away_team,home_points,away_points,spread,neutral_site,venue,favorite,underdog,winner,underdog_win
2022,1,Assumption,Kutztown University,3,0,0.0,False,Multi-Sport Stadium,Kutztown University,Assumption,Assumption,1
2022,1,Navy,Delaware,7,14,0.0,False,Navy-Marine Corps Memorial Stadium,Delaware,Navy,Delaware,0
2022,1,Brockport,Framingham State,27,7,0.0,False,Bob Boozer Field,Framingham State,Brockport,Brockport,1
2022,1,Greensboro College,Guilford College,48,37,0.0,False,Jamieson Stadium,Guilford College,Greensboro College,Greensboro College,1
2022,1,Boston College,Rutgers,21,22,0.0,False,"Alumni Stadium (Chestnut Hill, MA)",Rutgers,Boston College,Rutgers,0
2022,1,Allegheny,Union (NY),27,42,0.0,False,Frank B. Fuhrer Field,Union (NY),Allegheny,Union (NY),0
2022,1,Ohio Wesleyan,Otterbein,13,21,0.0,False,Selby Stadium,Otterbein,Ohio Wesleyan,Otterbein,0
2022,1,Bridgewater State,Ithaca College,14,51,0.0,False,Edward C. Swenson Athletic Complex,Ithaca College,Bridgewater State,Ithaca College,0
2022,1,Cortland,Wittenberg,48,28,0.0,False,Stadium Red Field,Wittenberg,Cortland,Cortland,1
2022,1,Albion,Carthage,52,0,0.0,False,Sprankle-Sprandel Stadium,Carthage,Albion,Albion,1
2022,1,Lafayette,Sacred Heart,6,0,0.0,False,Fisher Field,Sacred Heart,Lafayette,Lafayette,1
2022,1,Virginia,Richmond,34,17,0.0,False,Scott Stadium,Richmond,Virginia,Virginia,1
2022,1,Bethany (WV),Hiram College,26,16,0.0,False,Bison Stadium,Hiram College,Bethany (WV),Bethany (WV),1
2022,1,Bowie State,New Haven,27,20,0.0,False,Bulldogs Stadium,New Haven,Bowie State,Bowie State,1
2022,1,Hartwick,SUNY Maritime,31,10,0.0,False,Wright Stadium,SUNY Maritime,Hartwick,Hartwick,1
2022,1,West Virginia State,Shippensburg,29,6,0.0,False,Dickerson Stadium,Shippensburg,West Virginia State,West Virginia State,1
2022,1,Butler,St. Thomas University (Fl),31,26,0.0,False,Butler Bowl,St. Thomas University (Fl),Butler,Butler,1
2022,1,Washington & Jefferson,John Carroll University,35,26,0.0,False,Cameron Stadium,John Carroll University,Washington & Jefferson,Washington & Jefferson,1
2022,1,Methodist,Shenandoah,10,27,0.0,False,Monarch Stadium,Shenandoah,Methodist,Shenandoah,0
2022,1,Wabash College,Hampden-Sydney,52,48,0.0,False,Little Giant Stadium,Hampden-Sydney,Wabash College,Wabash College,1
2022,1,Kenyon,Bluffton,33,26,0.0,False,McBride Field,Bluffton,Kenyon,Kenyon,1
2022,1,Gallaudet,Waynesburg,14,52,0.0,False,Hotchkiss Field,Waynesburg,Gallaudet,Waynesburg,0
2022,1,Ripon,St. Norbert,13,10,0.0,False,Ingalls Field,St. Norbert,Ripon,Ripon,1
2022,1,Rockford,Beloit,41,14,0.0,False,Sam Greeley Field,Beloit,Rockford,Rockford,1
2022,1,Grove City College,Juniata College,63,6,0.0,False,Robert E. Thorn Field,Juniata College,Grove City College,Grove City College,1
2022,1,Coe College,Cornell College (IA),56,7,0.0,False,Clark Field,Cornell College (IA),Coe College,Coe College,1
2022,1,Brevard College,Shorter,6,45,0.0,False,Brevard Memorial Stadium,Shorter,Brevard College,Shorter,0
2022,1,Hope College,Aurora,38,34,0.0,False,Ray and Sue Smith Stadium,Aurora,Hope College,Hope College,1
2022,1,Ohio Northern,Alma,13,16,0.0,False,Dial-Roberson Stadium,Alma,Ohio Northern,Alma,0
2022,1,Widener,Rowan,20,42,0.0,False,Leslie C. Quick Jr. Stadium,Rowan,Widener,Rowan,0
2022,1,Sewanee,St. Scholastica,50,0,0.0,False,Hardee-McGee Field,St. Scholastica,Sewanee,Sewanee,1
2022,1,St. Lawrence,Endicott College,0,27,0.0,False,Leckonby Stadium,Endicott College,St. Lawrence,Endicott College,0
2022,1,William Paterson,Western Connecticut St,28,7,0.0,False,Wightman Stadium,Western Connecticut St,William Paterson,William Paterson,1
2022,1,McDaniel College,Catholic,27,37,0.0,False,Kenneth R. Gill Stadium,Catholic,McDaniel College,Catholic,0
2022,1,Montclair State,Thiel,27,6,0.0,False,Sprague Field,Thiel,Montclair State,Montclair State,1
2022,1,St John Fisher University,Buffalo State,62,21,0.0,False,Growney Stadium,Buffalo State,St John Fisher University,St John Fisher University,1
2022,1,Emory & Henry College,Concord University,20,27,0.0,False,Fred Selfe Stadium at Nicewonder Field,Concord University,Emory & Henry College,Concord University,0
2022,1,Post University,Lock Haven University,34,35,0.0,True,,Lock Haven University,Post University,Lock Haven University,0
2022,1,Gettysburg,Bridgewater (VA),14,29,0.0,False,Shirk Field at Musselman Stadium,Bridgewater (VA),Gettysburg,Bridgewater (VA),0
2022,1,Alfred State,Misericordia,17,14,0.0,False,Pioneer Stadium,Misericordia,Alfred State,Alfred State,1
2022,1,Depauw,Rose-Hulman,17,14,0.0,False,Blackstock Stadium,Rose-Hulman,Depauw,Depauw,1
2022,1,Saint Vincent,Stevenson,21,25,0.0,False,Chuck Noll Field,Stevenson,Saint Vincent,Stevenson,0
2022,1,ERSKINE,UFTL,49,2,0.0,False,J.W. Babb Stadium,UFTL,ERSKINE,ERSKINE,1
2022,1,Rensselaer,Dickinson (PA),14,7,0.0,False,ECAV Stadium,Dickinson (PA),Rensselaer,Rensselaer,1
2022,1,Luther,Presentation,6,29,0.0,False,Legacy Field in Carlson Stadium,Presentation,Luther,Presentation,0
2022,1,Keystone,Wilkes,21,48,0.0,False,Athletic Field Complex,Wilkes,Keystone,Wilkes,0
2022,1,Augustana (IL),Rhodes College,34,28,0.0,False,Charles D. Lindberg Stadium,Rhodes College,Augustana (IL),Augustana (IL),1
2022,1,Truman State,Davenport,19,20,0.0,False,Stokes Stadium,Davenport,Truman State,Davenport,0
2022,1,Northwood (MI),Kentucky Wesleyan,55,13,0.0,False,Hantz Stadium,Kentucky Wesleyan,Northwood (MI),Northwood (MI),1
2022,1,Franklin Pierce,Edinboro University,7,10,0.0,True,Sodexo Field,Edinboro University,Franklin Pierce,Edinboro University,0
2022,1,Kentucky State,Delta State,10,33,0.0,False,Alumni Stadium (KY),Delta State,Kentucky State,Delta State,0
2022,1,Air Force,Northern Iowa,48,17,0.0,False,Falcon Stadium,Northern Iowa,Air Force,Air Force,1
2022,1,Lycoming,Susquehanna,16,45,0.0,False,David Person Field,Susquehanna,Lycoming,Susquehanna,0
2022,1,Kalamazoo,Oberlin,21,14,0.0,False,Angell Field,Oberlin,Kalamazoo,Kalamazoo,1
2022,1,University of Mount Union,Defiance College,65,0,0.0,False,Mount Union Stadium,Defiance College,University of Mount Union,University of Mount Union,1
2022,1,Coast Guard,Biddeford,10,17,0.0,False,Cadet Memorial Field,Biddeford,Coast Guard,Biddeford,0
2022,1,Mount St. Joseph,Baldwin Wallace,31,28,0.0,False,Schueler Field,Baldwin Wallace,Mount St. Joseph,Mount St. Joseph,1
2022,1,Jacksonville State,Davidson,35,17,0.0,False,AmFirst Stadium,Davidson,Jacksonville State,Jacksonville State,1
2022,1,Maryville College (TN),Berry College,24,31,0.0,False,Lloyd L. Thornton Stadium,Berry College,Maryville College (TN),Berry College,0
2022,1,Millikin,Greenville,28,14,0.0,False,Frank M. Lindsay Field,Greenville,Millikin,Millikin,1
2022,1,Youngstown State,Duquesne,31,14,0.0,False,Stambaugh Stadium,Duquesne,Youngstown State,Youngstown State,1
2022,1,Iowa State,Southeast Missouri State,42,10,0.0,False,Jack Trice Stadium,Southeast Missouri State,Iowa State,Iowa State,1
2022,1,Elmhurst,Wisconsin-River Falls,0,63,0.0,False,Langhorst Field,Wisconsin-River Falls,Elmhurst,Wisconsin-River Falls,0
2022,1,Walsh,Tiffin,0,42,0.0,False,Tom Benson Hall of Fame Stadium,Tiffin,Walsh,Tiffin,0
2022,1,Lake Forest College,Wisconsin-Lutheran,42,7,0.0,False,Farwell Field,Wisconsin-Lutheran,Lake Forest College,Lake Forest College,1
2022,1,Concordia University Chicago,Chicago,14,34,0.0,False,Concordia Stadium,Chicago,Concordia University Chicago,Chicago,0
2022,1,Central College,St. Olaf,44,13,0.0,False,Ron and Joyce Schipper Stadium,St. Olaf,Central College,Central College,1
2022,1,Wisconsin-Eau Claire,Loras College,30,27,0.0,False,Carson Park,Loras College,Wisconsin-Eau Claire,Wisconsin-Eau Claire,1
2022,1,Martin Luther,Concordia-Wisconsin,14,35,0.0,False,MLC Bowl,Concordia-Wisconsin,Martin Luther,Concordia-Wisconsin,0
2022,1,Hendrix College,Austin,20,0,0.0,False,Young-Wise Memorial Stadium,Austin,Hendrix College,Hendrix College,1
2022,1,Saint John's (MN),Wisconsin-Whitewater,24,10,0.0,False,Clemens Stadium,Wisconsin-Whitewater,Saint John's (MN),Saint John's (MN),1
2022,1,Wisconsin-Oshkosh,East Texas Baptist University,52,13,0.0,False,J.J. Keller Field at Titan Stadium,East Texas Baptist University,Wisconsin-Oshkosh,Wisconsin-Oshkosh,1
2022,1,Eureka College,Nebraska Wesleyan,6,31,0.0,False,Pete FioRito Stadium at McKinzie Field,Nebraska Wesleyan,Eureka College,Nebraska Wesleyan,0
2022,1,Olivet College,Franklin,35,31,0.0,False,Cutler Field,Franklin,Olivet College,Olivet College,1
2022,1,Minot State,Winona State,10,24,0.0,False,Herb Parker Stadium,Winona State,Minot State,Winona State,0
2022,1,Texas Lutheran,Howard Payne,45,59,0.0,False,Bulldog Stadium (TX),Howard Payne,Texas Lutheran,Howard Payne,0
2022,1,McMurry,Birmingham-Southern,9,26,0.0,True,War Memorial Stadium (AR),Birmingham-Southern,McMurry,Birmingham-Southern,0
2022,1,Delaware State,Lincoln (PA),34,0,0.0,False,Alumni Stadium,Lincoln (PA),Delaware State,Delaware State,1
2022,1,Bloomsburg,Stonehill,30,33,0.0,False,Robert B. Redman Stadium,Stonehill,Bloomsburg,Stonehill,0
2022,1,Knox College,Westminster College (MO),26,0,0.0,False,Harley Knosher Bowl,Westminster College (MO),Knox College,Knox College,1
2022,1,Bethel (MN),Pacific Lutheran,41,9,0.0,False,Royal Stadium,Pacific Lutheran,Bethel (MN),Bethel (MN),1
2022,1,UCLA,Bowling Green,45,17,0.0,False,Rose Bowl,Bowling Green,UCLA,UCLA,1
2022,1,Willamette,Pomona Pitzer,21,44,0.0,False,McCulloch Stadium,Pomona Pitzer,Willamette,Pomona Pitzer,0
2022,1,Lake Erie,Hillsdale,31,35,0.0,False,Jack Britt Memorial Stadium,Hillsdale,Lake Erie,Hillsdale,0
2022,1,Montana,Northwestern State,47,0,0.0,False,Washington-Grizzly Stadium,Northwestern State,Montana,Montana,1
2022,1,Wyoming,Tulsa,40,37,0.0,False,War Memorial Stadium,Tulsa,Wyoming,Wyoming,1
2022,1,Arkansas,Cincinnati,31,24,0.0,False,Razorback Stadium,Cincinnati,Arkansas,Arkansas,1
2022,1,San Diego State,Arizona,20,38,0.0,False,Snapdragon Stadium,Arizona,San Diego State,Arizona,0
2022,1,Georgia,Oregon,49,3,0.0,True,Mercedes-Benz Stadium,Oregon,Georgia,Georgia,1
2022,1,Oklahoma,UTEP,45,13,0.0,False,"Memorial Stadium (Norman, OK)",UTEP,Oklahoma,Oklahoma,1
2022,1,North Dakota State,Drake,56,14,0.0,False,Fargodome,Drake,North Dakota State,North Dakota State,1
2022,1,Marshall,Norfolk State,55,3,0.0,False,Joan C. Edwards Stadium,Norfolk State,Marshall,Marshall,1
2022,1,Nebraska,North Dakota,38,17,0.0,False,"Memorial Stadium (Lincoln, NE)",North Dakota,Nebraska,Nebraska,1
2022,1,Miami,Bethune-Cookman,70,13,0.0,False,Hard Rock Stadium,Bethune-Cookman,Miami,Miami,1
2022,1,UTSA,Houston,35,37,0.0,False,Alamodome,Houston,UTSA,Houston,0
2022,1,California,UC Davis,34,13,0.0,False,California Memorial Stadium,UC Davis,California,California,1
2022,1,Northern Colorado,Houston Christian,34,46,0.0,False,Nottingham Field,Houston Christian,Northern Colorado,Houston Christian,0
2022,1,Ole Miss,Troy,28,10,0.0,False,Vaught-Hemingway Stadium,Troy,Ole Miss,Ole Miss,1
2022,1,Eastern Washington,Tennessee State,36,29,0.0,False,Roos Field,Tennessee State,Eastern Washington,Eastern Washington,1
2022,1,Edward Waters,Clark Atlanta,34,39,0.0,False,Earl Kitchings Stadium,Clark Atlanta,Edward Waters,Clark Atlanta,0
2022,1,South Florida,BYU,21,50,0.0,False,Raymond James Stadium,BYU,South Florida,BYU,0
2022,1,Lewis & Clark College,Puget Sound,41,15,0.0,False,Griswold Stadium,Puget Sound,Lewis & Clark College,Lewis & Clark College,1
2022,1,Shaw,Wingate,7,21,0.0,False,George Williams Athletic Complex,Wingate,Shaw,Wingate,0
2022,1,Wisconsin-Lacrosse,Dakota State University,42,7,0.0,False,Veterans Memorial Stadium (WI),Dakota State University,Wisconsin-Lacrosse,Wisconsin-Lacrosse,1
2022,1,South Alabama,Nicholls,48,7,0.0,False,Hancock Whitney Stadium,Nicholls,South Alabama,South Alabama,1
2022,1,Nevada,Texas State,38,14,0.0,False,Mackay Stadium,Texas State,Nevada,Nevada,1
2022,1,Ohio,Florida Atlantic,41,38,0.0,False,Peden Stadium,Florida Atlantic,Ohio,Ohio,1
2022,1,James Madison,Middle Tennessee,44,7,0.0,False,Bridgeforth Stadium,Middle Tennessee,James Madison,James Madison,1
2022,1,Washington and Lee,Christopher Newport,3,9,0.0,False,Wilson Field,Christopher Newport,Washington and Lee,Christopher Newport,0
2022,1,Livingstone,Catawba,19,44,0.0,False,Alumni Memorial Stadium (NC),Catawba,Livingstone,Catawba,0
2022,1,Newberry,Allen,40,6,0.0,False,Setzler Field,Allen,Newberry,Newberry,1
2022,1,Alderson-Broaddus,Mercyhurst,28,45,0.0,False,Multi-Sport Performance Stadium,Mercyhurst,Alderson-Broaddus,Mercyhurst,0
2022,1,West Georgia,Carson-Newman College,38,7,0.0,False,University Stadium (GA),Carson-Newman College,West Georgia,West Georgia,1
2022,1,Slippery Rock,Wayne State (MI),42,10,0.0,False,Mihalik-Thompson Stadium,Wayne State (MI),Slippery Rock,Slippery Rock,1
2022,1,Indianapolis,St. Xavier IL,57,0,0.0,False,Key Stadium,St. Xavier IL,Indianapolis,Indianapolis,1
2022,1,Lenoir-Rhyne,Virginia St,38,19,0.0,False,Helen and Leonard Moretz Stadium,Virginia St,Lenoir-Rhyne,Lenoir-Rhyne,1
2022,1,Benedict College,Elizabeth City State,52,14,0.0,False,Charlie W. Johnson Stadium,Elizabeth City State,Benedict College,Benedict College,1
2022,1,Bucknell,Towson,13,14,0.0,False,Christy Mathewson-Memorial Stadium,Towson,Bucknell,Towson,0
2022,1,Chattanooga,Wofford,31,0,0.0,False,Finley Stadium,Wofford,Chattanooga,Chattanooga,1
2022,1,Hampton,Howard,31,28,0.0,False,Armstrong Stadium,Howard,Hampton,Hampton,1
2022,1,Alabama State,Miles College,21,13,0.0,False,Hornet Stadium,Miles College,Alabama State,Alabama State,1
2022,1,USC,Rice,66,14,0.0,False,Los Angeles Memorial Coliseum,Rice,USC,USC,1
2022,1,Morehouse College,West Alabama,16,24,0.0,False,B.T. Harvey Stadium,West Alabama,Morehouse College,West Alabama,0
2022,1,Buena Vista,Gustavus Adolphus,20,62,0.0,False,J. Leslie Rollins Stadium,Gustavus Adolphus,Buena Vista,Gustavus Adolphus,0
2022,1,Randolph-Macon,North Carolina Wesleyan,49,7,0.0,False,Day Field,North Carolina Wesleyan,Randolph-Macon,Randolph-Macon,1
2022,1,Finlandia University,Benedictine University,7,52,0.0,True,McAfee Field,Benedictine University,Finlandia University,Benedictine University,0
2022,1,Georgia Southern,Morgan State,59,7,0.0,False,Allen E. Paulson Stadium,Morgan State,Georgia Southern,Georgia Southern,1
2022,1,Stetson,Concordia-Michigan,24,14,0.0,False,Spec Martin Municipal Stadium,Concordia-Michigan,Stetson,Stetson,1
2022,1,University of Mary,Wayne State (NE),28,33,0.0,False,MDU Resources Community Bowl,Wayne State (NE),University of Mary,Wayne State (NE),0
2022,1,Fayetteville State,UNC Pembroke,15,13,0.0,False,"Luther ""Nick"" Jeralds Stadium",UNC Pembroke,Fayetteville State,Fayetteville State,1
2022,1,Wisconsin-Stevens Pt,Mayville State,24,31,0.0,False,Community Stadium at Goerke Park,Mayville State,Wisconsin-Stevens Pt,Mayville State,0
2022,1,Kentucky,Miami (OH),37,13,0.0,False,Kroger Field,Miami (OH),Kentucky,Kentucky,1
2022,1,Midwestern State,CSU Pueblo,27,59,0.0,False,"Memorial Stadium (Wichita Falls, TX)",CSU Pueblo,Midwestern State,CSU Pueblo,0
2022,1,Albany State GA,Mississippi College,28,14,0.0,False,Albany State University Coliseum,Mississippi College,Albany State GA,Albany State GA,1
2022,1,North Park,Manchester,14,23,0.0,False,Holmgren Athletic Complex,Manchester,North Park,Manchester,0
2022,1,Wisconsin,Illinois State,38,0,0.0,False,Camp Randall Stadium,Illinois State,Wisconsin,Wisconsin,1
2022,1,Utica,University of Rochester (NY),43,28,0.0,False,Charles A. Gaetano Stadium,University of Rochester (NY),Utica,Utica,1
2022,1,Austin Peay,Presbyterian,63,0,0.0,False,Governors Stadium,Presbyterian,Austin Peay,Austin Peay,1
2022,1,Incarnate Word,Southern Illinois,64,29,0.0,False,Gayle and Tom Benson Stadium,Southern Illinois,Incarnate Word,Incarnate Word,1
2022,1,Mary Hardin-Baylor,Muhlenberg,62,13,0.0,False,Crusader Stadium,Muhlenberg,Mary Hardin-Baylor,Mary Hardin-Baylor,1
2022,1,Minnesota Morris,Macalester,24,45,0.0,False,Big Cat Stadium,Macalester,Minnesota Morris,Macalester,0
2022,1,Denison University,Capital,48,31,0.0,False,Deeds Field-Piper Stadium,Capital,Denison University,Denison University,1
2022,1,Tulane,Massachusetts,42,10,0.0,False,Yulman Stadium,Massachusetts,Tulane,Tulane,1
2022,1,Trinity University TX,Sul Ross State,55,7,0.0,False,Trinity University Stadium,Sul Ross State,Trinity University TX,Trinity University TX,1
2022,1,Arkansas-Pine Bluff,Lane College,48,42,0.0,False,Golden Lion Stadium,Lane College,Arkansas-Pine Bluff,Arkansas-Pine Bluff,1
2022,1,Florida,Utah,29,26,0.0,False,Ben Hill Griffin Stadium,Utah,Florida,Florida,1
2022,1,Huntingdon College (AL),Linfield College,34,41,0.0,False,Charles Lee Field at Samford Stadium,Linfield College,Huntingdon College (AL),Linfield College,0
2022,1,Alcorn State,Stephen F. Austin,27,31,0.0,False,Jack Spinks Stadium,Stephen F. Austin,Alcorn State,Stephen F. Austin,0
2022,1,UT Permian Basin,Southwest Baptist,17,41,0.0,False,Ratliff Stadium,Southwest Baptist,UT Permian Basin,Southwest Baptist,0
2022,1,West Florida,Warner University,52,3,0.0,True,Blue Wahoos Stadium,Warner University,West Florida,West Florida,1
2022,1,Southern Virginia,Wilmington (OH),27,52,0.0,False,Knight Stadium,Wilmington (OH),Southern Virginia,Wilmington (OH),0
2022,1,Coastal Carolina,Army,38,28,0.0,False,Brooks Stadium (SC),Army,Coastal Carolina,Coastal Carolina,1
2022,1,Vanderbilt,Elon,42,31,0.0,False,FirstBank Stadium,Elon,Vanderbilt,Vanderbilt,1
2022,1,Southern,Florida Memorial University,86,0,0.0,False,Ace W. Mumford Stadium,Florida Memorial University,Southern,Southern,1
2022,1,Auburn,Mercer,42,16,0.0,False,Jordan-Hare Stadium,Mercer,Auburn,Auburn,1
2022,1,Heidelberg,Adrian,31,0,0.0,False,Hoernemann Stadium,Adrian,Heidelberg,Heidelberg,1
2022,1,Prairie View A&M,Texas Southern,40,23,0.0,False,Panther Stadium,Texas Southern,Prairie View A&M,Prairie View A&M,1
2022,1,Southern Miss,Liberty,27,29,0.0,False,M. M. Roberts Stadium,Liberty,Southern Miss,Liberty,0
2022,1,Valparaiso,Indiana Wesleyan,20,17,0.0,False,Brown Field,Indiana Wesleyan,Valparaiso,Valparaiso,1
2022,1,Arkansas State,Grambling,58,3,0.0,False,Centennial Bank Stadium,Grambling,Arkansas State,Arkansas State,1
2022,1,Baylor,UAlbany,69,10,0.0,False,McLane Stadium,UAlbany,Baylor,Baylor,1
2022,1,Louisiana,SE Louisiana,24,7,0.0,False,Cajun Field,SE Louisiana,Louisiana,Louisiana,1
2022,1,Kansas State,South Dakota,34,0,0.0,False,Bill Snyder Family Stadium,South Dakota,Kansas State,Kansas State,1
2022,1,Ohio State,Notre Dame,21,10,0.0,False,Ohio Stadium,Notre Dame,Ohio State,Ohio State,1
2022,1,Mississippi State,Memphis,49,23,0.0,False,Davis Wade Stadium,Memphis,Mississippi State,Mississippi State,1
2022,1,South Carolina,Georgia State,35,14,0.0,False,Williams-Brice Stadium,Georgia State,South Carolina,South Carolina,1
2022,1,North Carolina Central,North Carolina A&T,28,13,0.0,True,Bank of America Stadium,North Carolina A&T,North Carolina Central,North Carolina Central,1
2022,1,Alabama,Utah State,55,0,0.0,False,Bryant-Denny Stadium,Utah State,Alabama,Alabama,1
2022,1,Geneva,Wooster,25,33,0.0,False,Reeves Field (PA),Wooster,Geneva,Wooster,0
2022,1,North Texas,SMU,10,48,0.0,False,DATCU Stadium,SMU,North Texas,SMU,0
2022,1,Crown College,Hamline University,14,39,0.0,False,Old National Bank Stadium,Hamline University,Crown College,Hamline University,0
2022,1,Montana State,McNeese,40,17,0.0,False,Bobcat Stadium,McNeese,Montana State,Montana State,1
2022,1,Monmouth (IL),Wartburg,7,34,0.0,False,April Zorn Memorial Stadium,Wartburg,Monmouth (IL),Wartburg,0
2022,1,Texas A&M-Kingsville,North American University,60,0,0.0,False,Javelina Stadium,North American University,Texas A&M-Kingsville,Texas A&M-Kingsville,1
2022,1,Northwestern (MN),Augsburg,15,23,0.0,False,Reynolds Field,Augsburg,Northwestern (MN),Augsburg,0
2022,1,Western New Mexico,Adams State,34,20,0.0,False,Ben Altamirano Field,Adams State,Western New Mexico,Western New Mexico,1
2022,1,Syracuse,Louisville,31,7,0.0,False,JMA Wireless Dome,Louisville,Syracuse,Syracuse,1
2022,1,Texas Tech,Murray State,63,10,0.0,False,Jones AT&T Stadium,Murray State,Texas Tech,Texas Tech,1
2022,1,Stanford,Colgate,41,10,0.0,False,Stanford Stadium,Colgate,Stanford,Stanford,1
2022,1,Texas,UL Monroe,52,10,0.0,False,DKR-Texas Memorial Stadium,UL Monroe,Texas,Texas,1
2022,1,New Mexico,Maine,41,0,0.0,False,University Stadium (NM),Maine,New Mexico,New Mexico,1
2022,1,Western Colorado,West Texas A&M,6,44,0.0,False,Buffalo Stadium,West Texas A&M,Western Colorado,West Texas A&M,0
2022,1,San Diego,La Verne,58,0,0.0,False,Torero Stadium,La Verne,San Diego,San Diego,1
2022,1,Washington State,Idaho,24,17,0.0,False,Gesa Field,Idaho,Washington State,Washington State,1
2022,1,NEWBERG,Redlands,38,31,0.0,False,Ted Runner Stadium,Redlands,NEWBERG,NEWBERG,1
2022,1,Chapman,Pacific (OR),42,21,0.0,False,Ernie Chapman Stadium,Pacific (OR),Chapman,Chapman,1
2022,1,Washington,Kent State,45,20,0.0,False,Husky Stadium,Kent State,Washington,Washington,1
2022,1,Oregon State,Boise State,34,17,0.0,False,Reser Stadium,Boise State,Oregon State,Oregon State,1
2022,1,Sacramento State,Utah Tech,56,33,0.0,False,Hornet Stadium,Utah Tech,Sacramento State,Sacramento State,1
2022,1,Hawai'i,Western Kentucky,17,49,0.0,False,Clarence T.C. Ching Athletics Complex,Western Kentucky,Hawai'i,Western Kentucky,0
2022,1,Hanover College,Centre College Kentucky,29,31,0.0,False,Alumni Stadium (IN),Centre College Kentucky,Hanover College,Centre College Kentucky,0
2022,1,Jackson State,Florida A&M,59,3,0.0,True,Hard Rock Stadium,Florida A&M,Jackson State,Jackson State,1
2022,1,Central State (OH),Winston-Salem,41,21,0.0,True,Tom Benson Hall of Fame Stadium,Winston-Salem,Central State (OH),Central State (OH),1
2022,1,Tuskegee,Fort Valley State,6,21,0.0,True,Cramton Bowl,Fort Valley State,Tuskegee,Fort Valley State,0
2022,1,Florida State,LSU,24,23,0.0,True,Caesars Superdome,LSU,Florida State,Florida State,1
2022,1,Georgia Tech,Clemson,10,41,0.0,True,Mercedes-Benz Stadium,Clemson,Georgia Tech,Clemson,0
2022,2,West Liberty,Alderson-Broaddus,30,17,0.0,False,West Family Stadium,Alderson-Broaddus,West Liberty,West Liberty,1
2022,2,Quincy,Trinity International (IL),53,14,0.0,False,QU Stadium,Trinity International (IL),Quincy,Quincy,1
2022,2,Fairmont State,University Of Charleston (WV),38,40,0.0,False,Duvall-Rosier Field,University Of Charleston (WV),Fairmont State,University Of Charleston (WV),0
2022,2,Missouri State,UT Martin,35,30,0.0,False,Plaster Sports Complex,UT Martin,Missouri State,Missouri State,1
2022,2,Fort Hays State,Missouri Western,19,35,0.0,False,Lewis Field Stadium,Missouri Western,Fort Hays State,Missouri Western,0
2022,2,Central Missouri,Washburn,32,40,0.0,False,Audrey J. Walton Stadium at Vernon Kennedy Field,Washburn,Central Missouri,Washburn,0
2022,2,Nebraska-Kearney,Pittsburg St,28,35,0.0,False,Ron & Carol Cope Stadium at Foster Field,Pittsburg St,Nebraska-Kearney,Pittsburg St,0
2022,2,Central Oklahoma,Emporia State University,21,13,0.0,False,Wantland Stadium,Emporia State University,Central Oklahoma,Central Oklahoma,1
2022,2,Worcester Polytechnic Institute,Endicott College,0,24,0.0,False,"Alumni Stadium (Worcester, MA)",Endicott College,Worcester Polytechnic Institute,Endicott College,0
2022,2,FDU-Florham,William Paterson,28,21,0.0,False,Robert T. Shields Field,William Paterson,FDU-Florham,FDU-Florham,1
2022,2,SUNY Maritime,Mass Maritime,17,14,0.0,False,Reinhart Field,Mass Maritime,SUNY Maritime,SUNY Maritime,1
2022,2,Merrimack,Assumption,45,17,0.0,False,Duane Stadium,Assumption,Merrimack,Merrimack,1
2022,2,Nichols College,Dean College,71,55,0.0,False,Vendetti Field,Dean College,Nichols College,Nichols College,1
2022,2,UCF,Louisville,14,20,0.0,False,FBC Mortgage Stadium,Louisville,UCF,Louisville,0
2022,2,New Mexico,Boise State,14,31,0.0,False,University Stadium (NM),Boise State,New Mexico,Boise State,0
2022,2,West Chester,Slippery Rock,14,35,0.0,False,John A. Farrell Stadium,Slippery Rock,West Chester,Slippery Rock,0
2022,2,Millersville,Gannon,10,16,0.0,False,Chryst Field at Biemesderfer Stadium,Gannon,Millersville,Gannon,0
2022,2,Arkansas,South Carolina,44,30,0.0,False,Razorback Stadium,South Carolina,Arkansas,Arkansas,1
2022,2,Miami,Southern Miss,30,7,0.0,False,Hard Rock Stadium,Southern Miss,Miami,Miami,1
2022,2,Kansas State,Missouri,40,12,0.0,False,Bill Snyder Family Stadium,Missouri,Kansas State,Kansas State,1
2022,2,Minnesota,Western Illinois,62,10,0.0,False,Huntington Bank Stadium,Western Illinois,Minnesota,Minnesota,1
2022,2,Springfield,Rowan,35,38,0.0,False,Stagg Field,Rowan,Springfield,Rowan,0
2022,2,UNC Pembroke,West Virginia Wesleyan,50,26,0.0,False,Grace P. Johnson Stadium,West Virginia Wesleyan,UNC Pembroke,UNC Pembroke,1
2022,2,Montclair State,Delaware Valley,6,14,0.0,False,Sprague Field,Delaware Valley,Montclair State,Delaware Valley,0
2022,2,Alfred University,Mount St. Joseph,37,43,0.0,False,Merrill Field at Yunevich Stadium,Mount St. Joseph,Alfred University,Mount St. Joseph,0
2022,2,Texas,Alabama,19,20,0.0,False,DKR-Texas Memorial Stadium,Alabama,Texas,Alabama,0
2022,2,Penn State,Ohio,46,10,0.0,False,Beaver Stadium,Ohio,Penn State,Penn State,1
2022,2,Vanderbilt,Wake Forest,25,45,0.0,False,FirstBank Stadium,Wake Forest,Vanderbilt,Wake Forest,0
2022,2,Georgia State,North Carolina,28,35,0.0,False,Center Parc Stadium,North Carolina,Georgia State,North Carolina,0
